,year,SA2 code,pred
0,2022,201011001,595.0
1,2022,201011002,1343.0
2,2022,201011005,533.0
3,2022,201011006,551.0
4,2022,201011007,415.0
5,2022,201011008,551.0
6,2022,201011481,871.0
7,2022,201011482,581.0
8,2022,201011483,846.0
9,2022,201011484,1553.0
10,2022,201021009,381.0
11,2022,201021010,388.0
12,2022,201021011,440.0
13,2022,201021012,379.0
14,2022,201031013,369.0
15,2022,201031014,397.0
16,2022,201031015,334.0
17,2022,201031016,584.0
18,2022,201031017,311.0
19,2022,202011018,1340.0
20,2022,202011019,692.0
21,2022,202011020,1193.0
22,2022,202011021,1086.0
23,2022,202011022,823.0
24,2022,202011023,461.0
25,2022,202011024,509.0
26,2022,202011025,476.0
27,2022,202021026,389.0
28,2022,202021027,477.0
29,2022,202021028,393.0
30,2022,202021029,380.0
31,2022,202021030,406.0
32,2022,202021031,417.0
33,2022,202031032,426.0
34,2022,202031033,389.0
35,2022,203011034,471.0
36,2022,203011035,368.0
37,2022,203011036,358.0
38,2022,203021037,1885.0
39,2022,203021039,1362.0
40,2022,203021040,969.0
41,2022,203021042,875.0
42,2022,203021043,387.0
43,2022,203021044,792.0
44,2022,203021045,749.0
45,2022,203021046,2111.0
46,2022,203021047,1025.0
47,2022,203021485,543.0
48,2022,203021486,649.0
49,2022,203021487,850.0
50,2022,203021488,1738.0
51,2022,203031048,601.0
52,2022,203031049,349.0
53,2022,203031051,464.0
54,2022,203031052,438.0
55,2022,203031053,488.0
56,2022,203031489,472.0
57,2022,203031490,575.0
58,2022,204011054,397.0
59,2022,204011055,310.0
60,2022,204011056,413.0
61,2022,204011057,386.0
62,2022,204011058,313.0
63,2022,204011059,460.0
64,2022,204011060,402.0
65,2022,204011061,391.0
66,2022,204011062,399.0
67,2022,204021063,375.0
68,2022,204021064,378.0
69,2022,204021065,387.0
70,2022,204021066,650.0
71,2022,204021067,404.0
72,2022,204031068,384.0
73,2022,204031069,379.0
74,2022,204031070,353.0
75,2022,204031071,387.0
76,2022,204031072,355.0
77,2022,204031073,495.0
78,2022,204031075,424.0
79,2022,204031491,470.0
80,2022,204031492,850.0
81,2022,205011076,421.0
82,2022,205011077,357.0
83,2022,205011078,398.0
84,2022,205011079,435.0
85,2022,205021080,333.0
86,2022,205021081,498.0
87,2022,205021082,357.0
88,2022,205021083,379.0
89,2022,205021084,402.0
90,2022,205021085,341.0
91,2022,205021086,402.0
92,2022,205031087,417.0
93,2022,205031088,424.0
94,2022,205031089,410.0
95,2022,205031090,392.0
96,2022,205031091,447.0
97,2022,205031092,345.0
98,2022,205031093,413.0
99,2022,205041094,391.0
100,2022,205041095,569.0
101,2022,205041096,543.0
102,2022,205041098,373.0
103,2022,205041493,493.0
104,2022,205041494,697.0
105,2022,205051099,390.0
106,2022,205051100,374.0
107,2022,205051101,384.0
108,2022,205051102,364.0
109,2022,205051103,683.0
110,2022,205051104,357.0
111,2022,206011106,4661.0
112,2022,206011107,4643.0
113,2022,206011109,3664.0
114,2022,206011495,5552.0
115,2022,206011496,4788.0
116,2022,206011497,3642.0
117,2022,206011498,4729.0
118,2022,206021110,3361.0
119,2022,206021112,4052.0
120,2022,206021499,4516.0
121,2022,206021500,4086.0
122,2022,206031113,4110.0
123,2022,206031115,6248.0
124,2022,206031116,3640.0
125,2022,206031501,3468.0
126,2022,206031502,3509.0
127,2022,206041117,8986.0
128,2022,206041118,3697.0
129,2022,206041119,2113.0
130,2022,206041120,433.0
131,2022,206041121,5055.0
132,2022,206041124,2076.0
133,2022,206041125,4490.0
134,2022,206041127,342.0
135,2022,206041503,11327.0
136,2022,206041504,17006.0
137,2022,206041505,9756.0
138,2022,206041506,5791.0
139,2022,206041507,386.0
140,2022,206041508,6845.0
141,2022,206041509,11526.0
142,2022,206041510,5656.0
143,2022,206051128,3531.0
144,2022,206051129,6261.0
145,2022,206051130,5789.0
146,2022,206051134,7288.0
147,2022,206051511,407.0
148,2022,206051512,6123.0
149,2022,206051513,7778.0
