,SA2_MAIN16,SA2_NAME16
578,201011001,Alfredton
579,201011002,Ballarat
580,201011003,Ballarat - North
581,201011004,Ballarat - South
582,201011005,Buninyong
583,201011006,Delacombe
584,201011007,Smythes Creek
585,201011008,Wendouree - Miners Rest
586,201021009,Bacchus Marsh Region
587,201021010,Creswick - Clunes
588,201021011,Daylesford
589,201021012,Gordon (Vic.)
590,201031013,Avoca
591,201031014,Beaufort
592,201031015,Golden Plains - North
593,201031016,Maryborough (Vic.)
594,201031017,Maryborough Region
595,202011018,Bendigo
596,202011019,California Gully - Eaglehawk
597,202011020,East Bendigo - Kennington
598,202011021,Flora Hill - Spring Gully
599,202011022,Kangaroo Flat - Golden Square
600,202011023,Maiden Gully
601,202011024,Strathfieldsaye
602,202011025,White Hills - Ascot
603,202021026,Bendigo Region - South
604,202021027,Castlemaine
605,202021028,Castlemaine Region
606,202021029,Heathcote
607,202021030,Kyneton
608,202021031,Woodend
609,202031032,Bendigo Region - North
610,202031033,Loddon
611,203011034,Bannockburn
612,203011035,Golden Plains - South
613,203011036,Winchelsea
614,203021037,Belmont
615,203021038,Corio - Norlane
616,203021039,Geelong
617,203021040,Geelong West - Hamlyn Heights
618,203021041,Grovedale
619,203021042,Highton
620,203021043,Lara
621,203021044,Leopold
622,203021045,Newcomb - Moolap
623,203021046,Newtown (Vic.)
624,203021047,North Geelong - Bell Park
625,203031048,Clifton Springs
626,203031049,Lorne - Anglesea
627,203031050,Ocean Grove - Barwon Heads
628,203031051,Portarlington
629,203031052,Point Lonsdale - Queenscliff
630,203031053,Torquay
631,204011054,Alexandra
632,204011055,Euroa
633,204011056,Kilmore - Broadford
634,204011057,Mansfield (Vic.)
635,204011058,Nagambie
636,204011059,Seymour
637,204011060,Seymour Region
638,204011061,Upper Yarra Valley
639,204011062,Yea
640,204021063,Benalla
641,204021064,Benalla Region
642,204021065,Rutherglen
643,204021066,Wangaratta
644,204021067,Wangaratta Region
645,204031068,Beechworth
646,204031069,Bright - Mount Beauty
647,204031070,Chiltern - Indigo Valley
648,204031071,Myrtleford
649,204031072,Towong
650,204031073,West Wodonga
651,204031074,Wodonga
652,204031075,Yackandandah
653,205011076,Drouin
654,205011077,Mount Baw Baw Region
655,205011078,Trafalgar (Vic.)
656,205011079,Warragul
657,205021080,Alps - East
658,205021081,Bairnsdale
659,205021082,Bruthen - Omeo
660,205021083,Lake King
661,205021084,Lakes Entrance
662,205021085,Orbost
663,205021086,Paynesville
664,205031087,Foster
665,205031088,French Island
666,205031089,Korumburra
667,205031090,Leongatha
668,205031091,Phillip Island
669,205031092,Wilsons Promontory
670,205031093,Wonthaggi - Inverloch
671,205041094,Churchill
672,205041095,Moe - Newborough
673,205041096,Morwell
674,205041097,Traralgon
675,205041098,Yallourn North - Glengarry
676,205051099,Alps - West
677,205051100,Longford - Loch Sport
678,205051101,Maffra
679,205051102,Rosedale
680,205051103,Sale
681,205051104,Yarram
682,206011105,Brunswick
683,206011106,Brunswick East
684,206011107,Brunswick West
685,206011108,Coburg
686,206011109,Pascoe Vale South
687,206021110,Alphington - Fairfield
688,206021111,Northcote
689,206021112,Thornbury
690,206031113,Ascot Vale
691,206031114,Essendon - Aberfeldie
692,206031115,Flemington
693,206031116,Moonee Ponds
694,206041117,Carlton
695,206041118,Docklands
696,206041119,East Melbourne
697,206041120,Flemington Racecourse
698,206041121,Kensington (Vic.)
699,206041122,Melbourne
700,206041123,North Melbourne
701,206041124,Parkville
702,206041125,South Yarra - West
703,206041126,Southbank
704,206041127,West Melbourne
705,206051128,Albert Park
706,206051129,Elwood
707,206051130,Port Melbourne
708,206051131,Port Melbourne Industrial
709,206051132,South Melbourne
710,206051133,St Kilda
711,206051134,St Kilda East
712,206061135,Armadale
713,206061136,Prahran - Windsor
714,206061137,South Yarra - East
715,206061138,Toorak
716,206071139,Abbotsford
717,206071140,Carlton North - Princes Hill
718,206071141,Collingwood
719,206071142,Fitzroy
720,206071143,Fitzroy North
721,206071144,Richmond (Vic.)
722,206071145,Yarra - North
723,207011146,Ashburton (Vic.)
724,207011147,Balwyn
725,207011148,Balwyn North
726,207011149,Camberwell
727,207011150,Glen Iris - East
728,207011151,Hawthorn
729,207011152,Hawthorn East
730,207011153,Kew
731,207011154,Kew East
732,207011155,Surrey Hills (West) - Canterbury
733,207021156,Bulleen
734,207021157,Doncaster
735,207021159,Templestowe
736,207021160,Templestowe Lower
737,207021424,Doncaster East (North)
738,207021425,Doncaster East (South)
739,207031161,Blackburn
740,207031162,Blackburn South
741,207031163,Box Hill
742,207031164,Box Hill North
743,207031165,Burwood
744,207031166,Burwood East
745,207031167,Surrey Hills (East) - Mont Albert
746,208011168,Beaumaris
747,208011169,Brighton (Vic.)
748,208011170,Brighton East
749,208011171,Cheltenham - Highett (West)
750,208011172,Hampton
751,208011173,Sandringham - Black Rock
752,208021174,Bentleigh - McKinnon
753,208021176,Carnegie
754,208021177,Caulfield - North
755,208021178,Caulfield - South
756,208021179,Elsternwick
757,208021180,Hughesdale
758,208021181,Murrumbeena
759,208021182,Ormond - Glen Huntly
760,208021426,Bentleigh East (North)
761,208021427,Bentleigh East (South)
762,208031183,Aspendale Gardens - Waterways
763,208031184,Braeside
764,208031185,Carrum - Patterson Lakes
765,208031186,Chelsea - Bonbeach
766,208031187,Chelsea Heights
767,208031188,Cheltenham - Highett (East)
768,208031189,Edithvale - Aspendale
769,208031190,Mentone
770,208031191,Moorabbin - Heatherton
771,208031192,Moorabbin Airport
772,208031193,Mordialloc - Parkdale
773,208041194,Malvern - Glen Iris
774,208041195,Malvern East
775,209011196,Bundoora - East
776,209011197,Greensborough
777,209011198,Heidelberg - Rosanna
778,209011199,Heidelberg West
779,209011200,Ivanhoe
780,209011201,Ivanhoe East - Eaglemont
781,209011202,Montmorency - Briar Hill
782,209011203,Viewbank - Yallambie
783,209011204,Watsonia
784,209021205,Kingsbury
785,209021207,Reservoir - East
786,209021208,Reservoir - West
787,209021428,Preston - East
788,209021429,Preston - West
789,209031209,Eltham
