,SA2_NAME21,SA2_CODE21
644,Alfredton,201011001
645,Ballarat,201011002
646,Buninyong,201011005
647,Delacombe,201011006
648,Smythes Creek,201011007
649,Wendouree - Miners Rest,201011008
650,Ballarat East - Warrenheip,201011481
651,Ballarat North - Invermay,201011482
652,Canadian - Mount Clear,201011483
653,Sebastopol - Redan,201011484
654,Bacchus Marsh Surrounds,201021009
655,Creswick - Clunes,201021010
656,Daylesford,201021011
657,Gordon (Vic.),201021012
658,Avoca,201031013
659,Beaufort,201031014
660,Golden Plains - North,201031015
661,Maryborough (Vic.),201031016
662,Maryborough Surrounds,201031017
663,Bendigo,202011018
664,California Gully - Eaglehawk,202011019
665,East Bendigo - Kennington,202011020
666,Flora Hill - Spring Gully,202011021
667,Kangaroo Flat - Golden Square,202011022
668,Maiden Gully,202011023
669,Strathfieldsaye,202011024
670,White Hills - Ascot,202011025
671,Bendigo Surrounds - South,202021026
672,Castlemaine,202021027
673,Castlemaine Surrounds,202021028
674,Heathcote,202021029
675,Kyneton,202021030
676,Woodend,202021031
677,Bendigo Surrounds - North,202031032
678,Loddon,202031033
679,Bannockburn,203011034
680,Golden Plains - South,203011035
681,Winchelsea,203011036
682,Belmont,203021037
683,Geelong,203021039
684,Geelong West - Hamlyn Heights,203021040
685,Highton,203021042
686,Lara,203021043
687,Leopold,203021044
688,Newcomb - Moolap,203021045
689,Newtown (Vic.),203021046
690,North Geelong - Bell Park,203021047
691,Charlemont,203021485
692,Corio - Lovely Banks,203021486
693,Grovedale - Mount Duneed,203021487
694,Norlane,203021488
695,Clifton Springs,203031048
696,Lorne - Anglesea,203031049
697,Portarlington,203031051
698,Point Lonsdale - Queenscliff,203031052
699,Torquay,203031053
700,Barwon Heads - Armstrong Creek,203031489
701,Ocean Grove,203031490
702,Alexandra,204011054
703,Euroa,204011055
704,Kilmore - Broadford,204011056
705,Mansfield (Vic.),204011057
706,Nagambie,204011058
707,Seymour,204011059
708,Seymour Surrounds,204011060
709,Upper Yarra Valley,204011061
710,Yea,204011062
711,Benalla,204021063
712,Benalla Surrounds,204021064
713,Rutherglen,204021065
714,Wangaratta,204021066
715,Wangaratta Surrounds,204021067
716,Beechworth,204031068
717,Bright - Mount Beauty,204031069
718,Chiltern - Indigo Valley,204031070
719,Myrtleford,204031071
720,Towong,204031072
721,West Wodonga,204031073
722,Yackandandah,204031075
723,Baranduda - Leneva,204031491
724,Wodonga,204031492
725,Drouin,205011076
726,Mount Baw Baw Region,205011077
727,Trafalgar (Vic.),205011078
728,Warragul,205011079
729,Alps - East,205021080
730,Bairnsdale,205021081
731,Bruthen - Omeo,205021082
732,Lake King,205021083
733,Lakes Entrance,205021084
734,Orbost,205021085
735,Paynesville,205021086
736,Foster,205031087
737,French Island,205031088
738,Korumburra,205031089
739,Leongatha,205031090
740,Phillip Island,205031091
741,Wilsons Promontory,205031092
742,Wonthaggi - Inverloch,205031093
743,Churchill,205041094
744,Moe - Newborough,205041095
745,Morwell,205041096
746,Yallourn North - Glengarry,205041098
747,Traralgon - East,205041493
748,Traralgon - West,205041494
749,Alps - West,205051099
750,Longford - Loch Sport,205051100
751,Maffra,205051101
752,Rosedale,205051102
753,Sale,205051103
754,Yarram,205051104
755,Brunswick East,206011106
756,Brunswick West,206011107
757,Pascoe Vale South,206011109
758,Brunswick - North,206011495
759,Brunswick - South,206011496
760,Coburg - East,206011497
761,Coburg - West,206011498
762,Alphington - Fairfield,206021110
763,Thornbury,206021112
764,Northcote - East,206021499
765,Northcote - West,206021500
766,Ascot Vale,206031113
767,Flemington,206031115
768,Moonee Ponds,206031116
769,Essendon (West) - Aberfeldie,206031501
770,Essendon - East,206031502
771,Carlton,206041117
772,Docklands,206041118
773,East Melbourne,206041119
774,Flemington Racecourse,206041120
775,Kensington (Vic.),206041121
776,Parkville,206041124
777,South Yarra - West,206041125
778,West Melbourne - Industrial,206041127
779,Melbourne CBD - East,206041503
780,Melbourne CBD - North,206041504
781,Melbourne CBD - West,206041505
782,North Melbourne,206041506
783,Royal Botanic Gardens Victoria,206041507
784,Southbank (West) - South Wharf,206041508
785,Southbank - East,206041509
786,West Melbourne - Residential,206041510
787,Albert Park,206051128
788,Elwood,206051129
789,Port Melbourne,206051130
790,St Kilda East,206051134
791,Port Melbourne Industrial,206051511
792,South Melbourne,206051512
793,St Kilda - Central,206051513
794,St Kilda - West,206051514
795,Armadale,206061135
796,Prahran - Windsor,206061136
797,Toorak,206061138
798,South Yarra - North,206061515
799,South Yarra - South,206061516
800,Abbotsford,206071139
801,Carlton North - Princes Hill,206071140
802,Collingwood,206071141
803,Fitzroy,206071142
804,Fitzroy North,206071143
805,Clifton Hill - Alphington,206071145
806,Richmond (South) - Cremorne,206071517
807,Richmond - North,206071518
808,Ashburton (Vic.),207011146
809,Balwyn,207011147
810,Balwyn North,207011148
811,Camberwell,207011149
812,Glen Iris - East,207011150
813,Hawthorn East,207011152
814,Kew East,207011154
815,Surrey Hills (West) - Canterbury,207011155
816,Hawthorn - North,207011519
817,Hawthorn - South,207011520
818,Kew - South,207011521
819,Kew - West,207011522
820,Bulleen,207021156
821,Doncaster,207021157
822,Templestowe,207021159
823,Templestowe Lower,207021160
824,Doncaster East - North,207021424
825,Doncaster East - South,207021425
826,Blackburn,207031161
827,Blackburn South,207031162
828,Box Hill,207031163
829,Box Hill North,207031164
830,Burwood (Vic.),207031165
831,Burwood East,207031166
832,Surrey Hills (East) - Mont Albert,207031167
833,Beaumaris,208011168
834,Brighton (Vic.),208011169
835,Brighton East,208011170
836,Highett (West) - Cheltenham,208011171
837,Hampton,208011172
838,Sandringham - Black Rock,208011173
839,Bentleigh - McKinnon,208021174
840,Carnegie,208021176
841,Caulfield - North,208021177
842,Caulfield - South,208021178
843,Elsternwick,208021179
844,Hughesdale,208021180
845,Murrumbeena,208021181
846,Ormond - Glen Huntly,208021182
847,Bentleigh East - North,208021426
848,Bentleigh East - South,208021427
849,Aspendale Gardens - Waterways,208031183
850,Braeside,208031184
851,Carrum - Patterson Lakes,208031185
852,Chelsea - Bonbeach,208031186
853,Chelsea Heights,208031187
854,Highett (East) - Cheltenham,208031188
855,Edithvale - Aspendale,208031189
856,Mentone,208031190
857,Moorabbin - Heatherton,208031191
858,Moorabbin Airport,208031192
859,Mordialloc - Parkdale,208031193
860,Malvern - Glen Iris,208041194
861,Malvern East,208041195
862,Bundoora - East,209011196
863,Greensborough,209011197
864,Heidelberg - Rosanna,209011198
865,Heidelberg West,209011199
866,Ivanhoe,209011200
867,Ivanhoe East - Eaglemont,209011201
868,Montmorency - Briar Hill,209011202
869,Viewbank - Yallambie,209011203
870,Watsonia,209011204
871,Kingsbury,209021205
872,Preston - East,209021428
873,Preston - West,209021429
874,Reservoir - North East,209021523
875,Reservoir - North West,209021524
876,Reservoir - South East,209021525
877,Reservoir - South West,209021526
878,Eltham,209031209
879,Hurstbridge,209031210
880,Kinglake,209031211
881,Panton Hill - St Andrews,209031212
882,Plenty - Yarrambat,209031213
883,Research - North Warrandyte,209031214
884,Wattle Glen - Diamond Creek,209031215
885,Bundoora - North,209041216
886,Bundoora - West,209041217
887,Mill Park - North,209041220
888,Mill Park - South,209041221
889,Thomastown,209041223
890,Wallan,209041224
891,Whittlesea,209041225
892,Epping - East,209041431
893,Epping - South,209041432
894,Epping (Vic.) - West,209041433
895,South Morang - North,209041435
896,South Morang - South,209041436
897,Wollert,209041437
898,Doreen - North,209041527
899,Doreen - South,209041528
900,Lalor - East,209041529
901,Lalor - West,209041530
902,Mernda - North,209041531
903,Mernda - South,209041532
904,Airport West,210011226
905,Essendon Airport,210011227
906,Keilor,210011228
907,Niddrie - Essendon West,210011230
908,Strathmore,210011231
909,Avondale Heights,210011533
910,Keilor East,210011534
911,Gisborne,210021232
912,Macedon,210021233
913,Riddells Creek,210021234
914,Romsey,210021235
915,Coburg North,210031236
916,Fawkner,210031237
917,Gowanbrae,210031439
918,Hadfield,210031440
919,Glenroy - East,210031535
920,Glenroy - West,210031536
921,Oak Park,210031537
922,Pascoe Vale,210031538
923,Sunbury,210041240
924,Diggers Rest,210041539
925,Sunbury - South,210041540
926,Sunbury - West,210041541
927,Broadmeadows,210051242
928,Campbellfield - Coolaroo,210051243
929,Gladstone Park - Westmeadows,210051245
930,Greenvale - Bulla,210051246
931,Meadow Heights,210051247
932,Melbourne Airport,210051248
933,Tullamarine,210051250
934,Craigieburn - Central,210051441
935,Craigieburn - North,210051442
936,Craigieburn - South,210051443
937,Mickleham - Yuroke,210051445
938,Craigieburn - North West,210051542
939,Craigieburn - West,210051543
940,Roxburgh Park (South) - Somerton,210051544
941,Roxburgh Park - North,210051545
942,Bayswater,211011251
943,Knoxfield - Scoresby,211011254
944,Lysterfield,211011255
945,Rowville - Central,211011256
946,Rowville - North,211011257
947,Rowville - South,211011258
948,Wantirna,211011259
949,Wantirna South,211011260
950,Boronia,211011446
951,Ferntree Gully - North,211011447
952,Ferntree Gully (South) - Upper Ferntree Gully,211011448
953,The Basin,211011449
954,Donvale - Park Orchards,211021261
955,Warrandyte - Wonga Park,211021262
956,Bayswater North,211031263
957,Croydon Hills - Warranwood,211031265
958,Ringwood,211031266
959,Ringwood East,211031267
960,Ringwood North,211031268
961,Croydon - East,211031450
962,Croydon - West,211031451
963,Croydon South,211031452
964,Forest Hill,211041269
965,Mitcham (Vic.),211041270
966,Nunawading,211041271
967,Vermont,211041272
968,Vermont South,211041273
969,Belgrave - Selby,211051274
970,Chirnside Park,211051275
971,Healesville - Yarra Glen,211051276
972,Kilsyth,211051277
973,Lilydale - Coldstream,211051278
974,Monbulk - Silvan,211051279
975,Montrose,211051280
976,Mooroolbark,211051281
977,Mount Dandenong - Olinda,211051282
978,Mount Evelyn,211051283
979,Upwey - Tecoma,211051284
980,Wandin - Seville,211051285
981,Yarra Valley,211051286
982,Emerald - Cockatoo,212011289
983,Beaconsfield - Officer,212011546
984,Bunyip - Garfield,212011547
985,Koo Wee Rup,212011548
986,Pakenham - North East,212011549
987,Pakenham - North West,212011550
988,Pakenham - South East,212011551
989,Pakenham - South West,212011552
990,Berwick - North,212021293
991,Doveton,212021295
992,Hallam,212021297
993,Narre Warren North,212021299
994,Endeavour Hills - North,212021453
995,Endeavour Hills - South,212021454
996,Narre Warren - North East,212021455
997,Narre Warren - South West,212021456
998,Berwick - South East,212021553
999,Berwick - South West,212021554
1000,Cranbourne,212031300
1001,Cranbourne South,212031303
1002,Cranbourne West,212031304
1003,Lynbrook - Lyndhurst,212031306
1004,Pearcedale - Tooradin,212031308
1005,Narre Warren South - East,212031457
1006,Narre Warren South - West,212031458
1007,Clyde North - North,212031555
1008,Clyde North - South,212031556
1009,Cranbourne East - North,212031557
1010,Cranbourne East - South,212031558
1011,Cranbourne North - East,212031559
1012,Cranbourne North - West,212031560
1013,Hampton Park - East,212031561
1014,Hampton Park - West,212031562
1015,Clarinda - Oakleigh South,212041309
1016,Clayton South,212041310
1017,Dandenong North,212041312
1018,Dingley Village,212041313
1019,Noble Park North,212041316
1020,Springvale,212041317
1021,Springvale South,212041318
1022,Noble Park - East,212041459
1023,Noble Park - West,212041460
1024,Dandenong - North,212041563
1025,Dandenong - South,212041564
1026,Keysborough - North,212041565
1027,Keysborough - South,212041566
1028,Ashwood - Chadstone,212051319
1029,Glen Waverley - East,212051321
1030,Glen Waverley - West,212051322
1031,Mount Waverley - North,212051323
1032,Mount Waverley - South,212051324
1033,Mulgrave,212051325
1034,Oakleigh - Huntingdale,212051326
1035,Wheelers Hill,212051327
1036,Clayton (North) - Notting Hill,212051567
1037,Clayton - Central,212051568
1038,Ardeer - Albion,213011328
1039,Cairnlea,213011329
1040,Delahey,213011331
1041,Keilor Downs,213011332
1042,Kings Park (Vic.),213011333
1043,St Albans - North,213011334
1044,St Albans - South,213011335
1045,Sunshine,213011336
1046,Sunshine North,213011337
1047,Sunshine West,213011338
1048,Sydenham,213011339
1049,Taylors Lakes,213011340
1050,Deer Park,213011569
1051,Derrimut,213011570
1052,Altona,213021341
1053,Altona Meadows,213021342
1054,Altona North,213021343
1055,Newport,213021344
1056,Seabrook,213021345
1057,Williamstown,213021346
1058,Braybrook,213031347
1059,Footscray,213031348
1060,Maribyrnong,213031349
1061,Seddon - Kingsville,213031350
1062,West Footscray - Tottenham,213031351
1063,Yarraville,213031352
1064,Bacchus Marsh,213041353
1065,Melton West,213041358
1066,Rockbank - Mount Cottrell,213041359
1067,Taylors Hill,213041360
1068,Burnside,213041461
1069,Burnside Heights,213041462
1070,Caroline Springs,213041463
1071,Brookfield,213041571
1072,Cobblebank - Strathtulloh,213041572
1073,Eynesbury - Exford,213041573
1074,Fraser Rise - Plumpton,213041574
1075,Hillside,213041575
1076,Kurunjang - Toolern Vale,213041576
1077,Melton,213041577
1078,Melton South - Weir Views,213041578
1079,Hoppers Crossing - North,213051361
1080,Hoppers Crossing - South,213051362
1081,Laverton,213051363
1082,Werribee - South,213051368
1083,Point Cook - East,213051464
1084,Point Cook - South,213051466
1085,Werribee - East,213051467
1086,Werribee - West,213051468
1087,Manor Lakes - Quandong,213051579
1088,Point Cook - North East,213051580
1089,Point Cook - North West,213051581
1090,Tarneit (West) - Mount Cottrell,213051582
1091,Tarneit - Central,213051583
1092,Tarneit - North,213051584
1093,Tarneit - South,213051585
1094,Truganina - North,213051586
1095,Truganina - South East,213051587
1096,Truganina - South West,213051588
1097,Wyndham Vale - North,213051589
1098,Wyndham Vale - South,213051590
1099,Carrum Downs,214011370
1100,Frankston,214011371
1101,Frankston North,214011372
1102,Frankston South,214011373
1103,Langwarrin,214011374
1104,Seaford (Vic.),214011375
1105,Skye - Sandhurst,214011376
1106,Dromana,214021377
1107,Flinders,214021378
1108,Hastings - Somers,214021379
1109,Mount Eliza,214021381
1110,Mount Martha,214021382
1111,Point Nepean,214021383
1112,Rosebud - McCrae,214021384
1113,Somerville,214021385
1114,Mornington - East,214021591
1115,Mornington - West,214021592
1116,Ararat,215011386
1117,Ararat Surrounds,215011387
1118,Horsham,215011388
1119,Horsham Surrounds,215011389
1120,Nhill Region,215011390
1121,St Arnaud,215011391
1122,Stawell,215011392
1123,West Wimmera,215011393
1124,Yarriambiack,215011394
1125,Irymple,215021395
1126,Merbein,215021396
1127,Mildura Surrounds,215021398
1128,Red Cliffs,215021399
1129,Mildura - North,215021469
1130,Mildura - South,215021470
1131,Buloke,215031400
1132,Gannawarra,215031401
1133,Kerang,215031402
1134,Robinvale,215031403
1135,Swan Hill,215031404
1136,Swan Hill Surrounds,215031405
1137,Echuca,216011406
1138,Kyabram,216011407
1139,Lockington - Gunbower,216011408
1140,Rochester,216011409
1141,Rushworth,216011410
1142,Cobram,216021411
1143,Moira,216021412
1144,Numurkah,216021413
1145,Yarrawonga,216021414
1146,Mooroopna,216031415
1147,Shepparton - North,216031416
1148,Shepparton Surrounds - East,216031418
1149,Shepparton Surrounds - West,216031419
1150,Kialla,216031593
1151,Shepparton - South East,216031594
1152,Glenelg (Vic.),217011420
1153,Hamilton (Vic.),217011421
1154,Portland,217011422
1155,Southern Grampians,217011423
1156,Camperdown,217031471
1157,Colac,217031472
1158,Colac Surrounds,217031473
1159,Corangamite - North,217031474
1160,Corangamite - South,217031475
1161,Otway,217031476
1162,Moyne - East,217041477
1163,Moyne - West,217041478
1164,Warrnambool - North,217041479
1165,Warrnambool - South,217041480
1166,Migratory - Offshore - Shipping (Vic.),297979799
1167,No usual address (Vic.),299999499
