,Year,Postcode,crime_count
0,2023,3000,15867
1,2023,3002,1089
2,2023,3003,1047
3,2023,3004,5324
4,2023,3006,3624
5,2023,3008,2798
6,2023,3011,3137
7,2023,3012,2267
8,2023,3013,902
9,2023,3015,1172
10,2023,3016,1302
11,2023,3018,954
12,2023,3019,1382
13,2023,3020,6243
14,2023,3021,5224
15,2023,3022,451
16,2023,3023,4269
17,2023,3024,1582
18,2023,3025,1183
19,2023,3026,1334
20,2023,3027,435
21,2023,3028,1918
22,2023,3029,6048
23,2023,3030,6495
24,2023,3031,2407
25,2023,3032,3155
26,2023,3033,785
27,2023,3034,510
28,2023,3036,403
29,2023,3037,2214
30,2023,3038,2095
31,2023,3039,1512
32,2023,3040,1595
33,2023,3041,882
34,2023,3042,1574
35,2023,3043,1800
36,2023,3044,1544
37,2023,3045,644
38,2023,3046,2766
39,2023,3047,4391
40,2023,3048,1989
41,2023,3049,697
42,2023,3051,1722
43,2023,3052,1193
44,2023,3053,2106
45,2023,3054,708
46,2023,3055,969
47,2023,3056,2865
48,2023,3057,887
49,2023,3058,3533
50,2023,3059,753
51,2023,3060,1077
52,2023,3061,1495
53,2023,3062,280
54,2023,3063,105
55,2023,3064,5353
56,2023,3065,2708
57,2023,3066,2143
58,2023,3067,1358
59,2023,3068,1710
60,2023,3070,1941
61,2023,3071,1509
62,2023,3072,5349
63,2023,3073,4482
64,2023,3074,2499
65,2023,3075,1522
66,2023,3076,3366
67,2023,3078,851
68,2023,3079,959
69,2023,3081,1931
70,2023,3082,2176
71,2023,3083,2559
72,2023,3084,2349
73,2023,3085,773
74,2023,3087,634
75,2023,3088,1572
76,2023,3089,621
77,2023,3090,171
78,2023,3091,105
79,2023,3093,222
80,2023,3094,328
81,2023,3095,1119
82,2023,3096,120
83,2023,3097,108
84,2023,3099,266
85,2023,3101,1510
86,2023,3102,294
87,2023,3103,627
88,2023,3104,641
89,2023,3105,490
90,2023,3106,534
91,2023,3107,513
92,2023,3108,1503
93,2023,3109,1003
94,2023,3111,404
95,2023,3113,269
96,2023,3114,159
97,2023,3115,143
98,2023,3116,700
99,2023,3121,4739
100,2023,3122,1503
101,2023,3123,752
102,2023,3124,1121
103,2023,3125,957
104,2023,3126,307
105,2023,3127,674
106,2023,3128,1846
107,2023,3129,536
108,2023,3130,1300
109,2023,3131,1337
110,2023,3132,985
111,2023,3133,809
112,2023,3134,3489
113,2023,3135,1117
114,2023,3136,2571
115,2023,3137,787
116,2023,3138,1226
117,2023,3139,587
118,2023,3140,1735
119,2023,3141,2739
120,2023,3142,882
121,2023,3143,601
122,2023,3144,799
123,2023,3145,2351
124,2023,3146,984
125,2023,3147,1057
126,2023,3148,851
127,2023,3149,1495
128,2023,3150,2457
129,2023,3151,596
130,2023,3152,2448
131,2023,3153,2099
132,2023,3154,302
133,2023,3155,2249
134,2023,3156,2185
135,2023,3158,327
136,2023,3159,124
137,2023,3160,562
138,2023,3161,736
139,2023,3162,879
140,2023,3163,1606
141,2023,3165,1087
142,2023,3166,2000
143,2023,3167,577
144,2023,3168,2037
145,2023,3169,1148
146,2023,3170,1567
147,2023,3171,2429
148,2023,3172,1189
149,2023,3173,1661
150,2023,3174,3174
151,2023,3175,10394
152,2023,3177,1457
153,2023,3178,1785
154,2023,3179,510
155,2023,3180,582
156,2023,3181,3599
157,2023,3182,4769
158,2023,3183,1398
159,2023,3184,991
160,2023,3185,896
161,2023,3186,1303
162,2023,3187,665
163,2023,3188,1191
164,2023,3189,1154
165,2023,3190,979
166,2023,3191,637
167,2023,3192,1919
168,2023,3193,596
169,2023,3194,956
170,2023,3195,2319
171,2023,3196,1563
172,2023,3197,1010
173,2023,3198,1926
174,2023,3199,8349
175,2023,3200,1010
176,2023,3201,1796
177,2023,3202,260
178,2023,3204,1463
179,2023,3205,2369
180,2023,3206,905
181,2023,3207,2019
182,2023,3211,286
183,2023,3212,1016
184,2023,3213,243
185,2023,3214,4574
186,2023,3215,1850
187,2023,3216,2965
188,2023,3217,432
189,2023,3218,1313
190,2023,3219,2165
191,2023,3220,4104
192,2023,3221,90
193,2023,3222,560
194,2023,3223,452
195,2023,3224,706
196,2023,3225,241
197,2023,3226,514
198,2023,3227,254
199,2023,3228,740
200,2023,3230,203
201,2023,3231,103
202,2023,3232,205
203,2023,3233,214
204,2023,3234,83
205,2023,3235,82
206,2023,3236,73
207,2023,3237,78
208,2023,3238,89
209,2023,3239,88
210,2023,3240,148
211,2023,3241,231
212,2023,3242,89
213,2023,3243,54
214,2023,3249,170
215,2023,3250,1243
216,2023,3251,74
217,2023,3254,78
218,2023,3260,337
219,2023,3264,238
220,2023,3265,161
221,2023,3266,172
222,2023,3267,83
223,2023,3268,154
224,2023,3269,98
225,2023,3270,80
226,2023,3271,90
227,2023,3272,160
228,2023,3273,70
229,2023,3274,83
230,2023,3275,84
231,2023,3276,75
232,2023,3277,137
233,2023,3278,76
234,2023,3279,76
235,2023,3280,3218
236,2023,3281,93
237,2023,3282,136
238,2023,3283,112
239,2023,3284,213
240,2023,3285,107
241,2023,3286,84
242,2023,3287,73
243,2023,3289,102
244,2023,3292,90
245,2023,3293,75
246,2023,3294,111
247,2023,3300,1070
248,2023,3301,82
249,2023,3302,81
250,2023,3303,75
251,2023,3304,219
252,2023,3305,1331
253,2023,3309,79
254,2023,3310,83
255,2023,3311,135
256,2023,3312,103
257,2023,3314,83
258,2023,3315,129
259,2023,3317,77
260,2023,3318,104
261,2023,3319,85
262,2023,3321,94
263,2023,3322,73
264,2023,3323,81
265,2023,3324,81
266,2023,3325,63
267,2023,3328,91
268,2023,3329,64
269,2023,3330,97
270,2023,3331,240
271,2023,3332,89
272,2023,3333,122
273,2023,3334,87
274,2023,3335,501
275,2023,3336,372
276,2023,3337,4307
277,2023,3338,2325
278,2023,3340,1677
279,2023,3341,128
280,2023,3342,360
281,2023,3345,117
282,2023,3350,6985
283,2023,3351,377
284,2023,3352,769
285,2023,3355,1723
286,2023,3356,1662
287,2023,3357,196
288,2023,3358,154
289,2023,3360,94
290,2023,3361,80
291,2023,3363,303
292,2023,3364,135
293,2023,3370,150
294,2023,3371,127
295,2023,3373,246
296,2023,3374,109
297,2023,3375,85
298,2023,3377,1171
299,2023,3378,71
300,2023,3379,87
301,2023,3380,894
302,2023,3381,122
303,2023,3384,75
304,2023,3385,99
305,2023,3387,76
306,2023,3388,97
307,2023,3390,137
308,2023,3391,75
309,2023,3392,80
310,2023,3393,279
311,2023,3395,85
312,2023,3396,92
313,2023,3400,2362
314,2023,3401,232
315,2023,3407,71
316,2023,3409,103
317,2023,3412,73
318,2023,3413,75
319,2023,3414,179
320,2023,3415,60
321,2023,3418,210
322,2023,3419,88
323,2023,3420,79
324,2023,3423,87
325,2023,3424,99
326,2023,3427,349
327,2023,3428,152
328,2023,3429,2712
329,2023,3430,92
330,2023,3431,184
331,2023,3432,78
332,2023,3433,71
333,2023,3434,283
334,2023,3435,211
335,2023,3437,559
336,2023,3438,141
337,2023,3440,176
338,2023,3441,104
339,2023,3442,382
340,2023,3444,660
341,2023,3446,133
342,2023,3447,75
343,2023,3448,107
344,2023,3450,656
345,2023,3451,212
346,2023,3453,166
347,2023,3458,148
348,2023,3460,257
349,2023,3461,175
350,2023,3462,118
351,2023,3463,156
352,2023,3464,131
