street_adress,suburb,postcode,area,property_type,bedrooms,bathrooms,carspaces,price,time,latitude,longitude
"8/36 Byron Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,430,2022-08-30T17:07:01,-37.87778,144.987823
"13/40 Lillimur Road, Ormond",ORMOND,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,280,2022-08-30T17:05:02,-37.9007,145.0422
"201/21 Wellington Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,470,2022-08-30T16:58:09,-37.80823,144.985565
"6/10 Lalbert Crescent, Prahran",PRAHRAN,3181,Stonnington - Greater Area,House,3.0,2.0,2,"1,1",2022-08-30T16:57:36,-37.85607,145.010162
"18 Kingsley St, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,House,2.0,1.0,2,650,2022-08-30T16:57:00,-37.8883667,144.990021
"7/1204 Glen Huntly Road, Glen Huntly",GLEN HUNTLY,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,495,2022-08-30T16:54:26,-37.88984,145.044083
"31 Foster Ave, Glen Huntly",GLEN HUNTLY,3163,Glen Eira Council - Greater Area,House,4.0,1.0,2,995,2022-08-30T16:53:09,-37.8950729,145.039719
"121 Lord Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,3.0,2.0,2,950,2022-08-30T16:50:43,-37.8239822,145.004578
"20 Ellesmere Road, Burwood East",BURWOOD EAST,3151,Whitehorse City Council - Greater Area,House,3.0,1.0,0,450,2022-08-30T16:30:38,-37.8552856,145.154678
"33 Nott Street, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,House,4.0,1.0,2,550,2022-08-30T16:21:27,-37.86549,145.046448
"53/151 Fitzroy Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,3.0,1.0,0,725,2022-08-30T16:04:50,-37.8588448,144.9793
"8/4 McCracken Avenue, Northcote",NORTHCOTE,3070,Darebin City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,460,2022-08-30T16:02:48,-37.7699547,144.991867
"12/12 May Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,430,2022-08-30T15:57:40,-37.8786774,144.992233
"209/20 Station Street, Highett",HIGHETT,3190,Bayside - Greater Area,ApartmentUnitFlat,2.0,2.0,1,550,2022-08-30T15:57:38,-37.9501038,145.043716
"6/144 Brighton Road, Elsternwick",ELSTERNWICK,3185,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,390,2022-08-30T15:54:33,-37.88091,144.99559
"8 & 9/12 May Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,320,2022-08-30T15:46:45,-37.8786774,144.992233
"4/25 Cardigan Street, St Kilda East",ST KILDA EAST,3183,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,450,2022-08-30T15:40:27,-37.8657646,145.002243
"1B Castles Road, Bentleigh",BENTLEIGH,3204,Glen Eira Council - Greater Area,House,3.0,3.0,1,740,2022-08-30T15:37:01,-37.9314156,145.039673
"4/129-131 Kambrook Road, Caulfield North",CAULFIELD NORTH,3161,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,450,2022-08-30T15:30:56,-37.8805962,145.034546
"2/155-157 Oakleigh Road, Carnegie",CARNEGIE,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,420,2022-08-30T15:28:23,-37.89985,145.061142
"17 Brosnan Road, Bentleigh East",BENTLEIGH EAST,3165,Glen Eira Council - Greater Area,House,4.0,2.0,1,695,2022-08-30T15:24:30,-37.9322243,145.064224
"1106/555 Flinders Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,370,2022-08-30T15:20:28,-37.8209724,144.956482
"54 Wellington Street, Cremorne",CREMORNE,3121,Yarra City Council - Greater Area,Townhouse,3.0,3.0,2,130,2022-08-30T15:18:36,-37.82658,144.989426
"8 Merry Street, Ringwood East",RINGWOOD EAST,3135,Maroondah City - Greater Area,House,4.0,2.0,2,550,2022-08-30T15:16:33,-37.8145561,145.2467
"32 Dallas Avenue, Hughesdale",HUGHESDALE,3166,Monash City - Greater Area,House,4.0,1.0,4,670,2022-08-30T15:15:26,-37.90519,145.080887
"2/372 Orrong Road, Caulfield North",CAULFIELD NORTH,3161,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,550,2022-08-30T15:06:51,-37.8623428,145.010529
"48/321 Chapel Street, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,1.0,1.0,0,450,2022-08-30T15:06:44,-37.8475266,144.993759
"872 Centre Road, Bentleigh East",BENTLEIGH EAST,3165,Glen Eira Council - Greater Area,House,3.0,2.0,4,720,2022-08-30T15:05:24,-37.92333,145.074829
"283A Burnley Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,Townhouse,3.0,2.0,2,"1,5",2022-08-30T15:04:48,-37.82318,145.007843
"2901/200 Spencer Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,500,2022-08-30T14:50:32,-37.816227,144.953247
"16/114-118 Ferntree Gully Road, Oakleigh East",OAKLEIGH EAST,3166,Monash City - Greater Area,ApartmentUnitFlat,2.0,1.0,2,470,2022-08-30T14:46:14,-37.8986435,145.115784
"2A Granter Street, Brighton East",BRIGHTON EAST,3187,Bayside - Greater Area,House,4.0,2.0,3,525,2022-08-30T14:45:17,-37.90927,145.0172
"3/56 Larnook Street, Prahran",PRAHRAN,3181,Stonnington - Greater Area,Townhouse,3.0,3.0,2,"1,1",2022-08-30T14:38:30,-37.8578262,145.010223
"203/72 High Street, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,1.0,1.0,0,235,2022-08-30T14:23:52,-37.85135,144.98819
"33 Barkly Ave, Armadale",ARMADALE,3143,Stonnington - Greater Area,House,3.0,2.0,0,"1,2",2022-08-30T14:16:52,-37.8599625,145.026535
"104/226 Waverley Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,ApartmentUnitFlat,1.0,1.0,1,375,2022-08-30T14:03:25,-37.8768425,145.053253
"2/248 Francis Street, Yarraville",YARRAVILLE,3013,Maribyrnong City Council - Greater Area,Townhouse,3.0,2.0,1,550,2022-08-30T13:49:08,-37.81941,144.878189
