Address,Suburb,Postcode,Area,Type,Bed,Bath,Car,Price
"2/961 Punt Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,375
"101/50 Altona Street, Kensington",KENSINGTON,3031,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"12/51 Murphy Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,325
"20/283 Royal Parade, Parkville",PARKVILLE,3052,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,295
"56/161 Flemington Road, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,315
"3406/288 Spencer Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,Studio,1.0,1.0,0,300
"503/33 Claremont Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"2804/58 Clarke Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,360
"2/832 Lygon Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,370
"207/243 Franklin St, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,360
"805/39 Queen Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,300
"225/232-242 Rouse Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"825/488 Swanston Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,290
"8/12 Garton Street, Carlton North",CARLTON NORTH,3054,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,320
"707/115 Swanston Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"17/37 Fitzgerald Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,295
"235A Abbotsford Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,House,1.0,1.0,0,350
"6/101 Gipps Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,2,370
"108/25 Nott Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,375
"207/52 Darling Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"107/171 Flemington Road, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,2,250
"613/77 River Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,370
"302/61 Haig Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,360
"4/33 Queens Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,360
"29/274a Domain Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,375
"19/7 Manningham Street, Parkville",PARKVILLE,3052,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,340
"2/951 Punt Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,300
"403/7 Katherine Place, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,315
"4/63 Millswyn Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"102/42 Wilson Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,320
"15B/77-87 Haines Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,395
"701/518 Swanston Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,House,2.0,1.0,0,400
"2802/250 City Road, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,340
"24/155 Powlett Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"6/30 Davis Avenue, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,325
"610/408 Lonsdale Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,225
"8/63 Hawksburn Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,260
"417/9 Dryburgh Street, West Melbourne",WEST MELBOURNE,3003,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"2413/288 Spencer Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,360
"605/555 St Kilda Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"2/21 Wilson Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,390
"18/22A Rockley Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,360
"8/229 Williams Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,330
"825/488 Swanston Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,290
"210/29 O'Connell Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,380
"407/33 Wreckyn Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"1/70 O'Shanassy Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,1.0,0,370
"333 Exhibition Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"408/518 Swanston Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,380
"6/174 Toorak Road West Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,290
"12/28 The Righi, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"20/17 Queens Rd, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,370
"9/384 Toorak Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,400
"502/61 Haig Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,340
"51/287 Exhibition Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,330
"235A Abbotsford Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,House,1.0,1.0,0,350
"1113/610 St Kilda Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,370
"7/8 Cromwell Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"1124/572 St Kilda Road, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,350
"2/66 Gipps Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,375
"201/106-108 Queensberry Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,400
"225/2 Hobson Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400
"18/5A Powell Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,300
"19/7 Manningham Street, Parkville",PARKVILLE,3052,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,360
"1205/109 Clarendon Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"14/60 Arthur Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,House,1.0,1.0,0,380
"107/12 Queens Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,360
"112/445 Royal Parade, Parkville",PARKVILLE,3052,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,330
"14/47 Rockley Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,350
"10/246 Albert Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,345
"511/8 Vale St, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,400
"210/29 O'Connell Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,380
"17 Arnold Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,360
"Unit 304/162 Albert St, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400
"209/500 Flinders Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,200
"305/10 Claremont Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"501/8 Daly Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,375
"1408/199 William Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"1610/3 Yarra Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350
"1111/74 Queens Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,375
