facility,latitude,longitude,year,facility_type
MARTIN PARK,-36.1344799782408,146.880869964165,2015,park
STEPHEN CALLEJA RESERVE,-37.7438800022737,144.761389979194,2015,park
PINTAIL PARK,-37.6969300029726,144.790839980121,2015,park
PIONEER PARK,-37.6873400018485,144.760289978433,2015,park
CROMWELL ROAD RESERVE,-37.7372500018559,144.770619978304,2015,park
PROCTOR CRESCENT RESERVE,-37.7116500005601,144.783389978834,2015,park
BONFIELD RESERVE,-37.7235100043239,144.837879978125,2015,park
VERONA DRIVE RESERVE ,-37.6975000024084,144.797229979954,2015,park
MCSHANE DRIVE RESERVE,-37.7302000044893,144.824959978644,2015,park
BOROUGH DEPOT RESERVE ,-37.5997599985387,143.834089990907,2015,park
