facility,latitude,longitude,year,facility_type
ELSIE DORRINGTON RESERVE,-38.2254499961592,145.039139978285,2014,park
HICKS RESERVE,-36.1309500059546,146.851109959367,2014,park
DAVID BISHOP RESERVE,-36.1151299676888,146.862130082419,2014,park
JACK PERRY RESERVE,-36.1396699248411,146.901439990251,2014,park
BERNIE COX PARK,-36.1480799794905,146.869839974369,2014,park
JOSEPH BROWN OVAL,-37.7177600040555,144.834449980337,2014,park
BRENNAN PARK,-38.1021799827508,147.063090002866,2014,park
MARKET RESERVE,-37.9659499874577,147.083330008125,2014,park
RECREATION HALL RESERVE,-37.809419990007,145.030610008412,2014,park
BILL BLACK PARK,-36.1222199750275,146.852820026099,2014,park
SLATER SQUARE,-38.154519997782,144.356259969378,2014,park
BRUCE PARK,-38.1622699986538,145.139059990686,2014,park
ERN MILES RESERVE,-36.3327500079074,145.048549980245,2014,park
COLAURA GARDENS,-36.4904400200347,145.339060011757,2014,park
WYNDHAM PARK,-37.9021599972124,144.656789978457,2014,park
ROGER FREE PARK,-37.5822099995711,144.721379971362,2014,park
FLINDERS GOLF COURSE,-38.4780299955396,145.022179980326,2014,park
BALYANG SANCTUARY,-38.1643000001745,144.330929995816,2014,park
ANZAC PARK,-37.8431499957007,147.070500014387,2014,park
VICTORIA PARK,-38.1084099844513,147.071690010608,2014,park
HUGHES PARK,-37.7669999993191,145.299139983542,2014,park
BABABI DJINANANG,-37.7022300048611,144.979819995862,2014,park
GILLBROOK RESERVE,-37.7751699993837,144.951579957846,2014,park
WALTER GALT RESERVE,-37.9913499932602,145.090639987039,2014,park
NORM JARDINE PAVILION,-38.1616499986382,145.138889990785,2014,park
DIANE BYRNE PAVILION,-38.1074999955543,145.142499974148,2014,park
MCNEILLY PARK,-38.1210799999443,145.855509961789,2014,park
BERYL PHILLIPS NATURE RESERVE,-37.7805499958312,145.376809968602,2014,park
JOHN COBURN OVAL,-38.1510999970148,145.145279995831,2014,park
DONATH PARK,-37.6999500022563,145.014999986027,2014,park
MURRUMBEENA PARK,-37.8970199933759,145.07173996269,2014,park
GERALD MULLANE RESERVE,-37.6059599977114,143.930090013645,2014,park
DAVEY RICHARDSON PAVILION,-38.1047099975167,145.156669970972,2014,park
HARRADINE PARK,-34.5797099437801,142.768339891787,2014,park
BOULEVARD BUSH RESERVE,-36.364259998541,145.37221998681,2014,park
JAMES PENROSE RESERVE,-37.6625299979791,144.926599986351,2014,park
DICK MURDOCH RESERVE,-37.8535099947132,144.772649965476,2014,park
CRAIG WATTS SKATE PARK,-38.0163799985,145.955279984491,2014,park
KEILOR LODGE RESERVE,-37.6895700031377,144.779169981928,2014,park
PARMELIA DRIVE RESERVE,-37.7048300016428,144.785239979244,2014,park
TAYLORS CREEK LINEAR PARK,-37.7062900042272,144.808519992058,2014,park
JAMIESON STREET RESERVE,-37.7407200050076,144.787339978034,2014,park
WAHGUNYAH DRIVE RESERVE,-37.7501500027358,144.826769980186,2014,park
DALTON STREET RESERVE,-37.7958399991944,144.814599964384,2014,park
INTERNATIONAL GARDENS RESERVE,-37.7317500028451,144.785759977269,2014,park
MATTHEWS HILL RESERVE,-37.7941700000505,144.842129970783,2014,park
SYDENHAM BASIN RESERVE,-37.6950000019143,144.760559971568,2014,park
CONRAD STREET RESERVE,-37.7330400037041,144.798339993951,2014,park
BMX TRACK RESERVE,-38.1019199843537,147.031920008302,2014,park
Alan Lay Oval,-37.9839599940491,146.788540001826,2014,park
