facility,latitude,longitude,year,facility_type
ST ANNES RESERVE,-38.316030071024,144.344959991281,2016,park
JAN JUC CREEK RESERVE,-38.3451300813917,144.302229992789,2016,park
BARCLAY PARK ,-37.7142400013817,145.102819975291,2016,park
DESTINATION PARK,-37.6147400011694,144.889719970863,2016,park
MILDURA SKATE PARK,-34.1843400233259,142.166359987948,2016,park
HARMONY SQUARE,-37.9885099967375,145.213519979898,2016,park
JACK GREVILLE PARK,-37.578419995354,143.864629992765,2016,park
JOHN MCMAHON RESERVE,-37.574229994954,144.757459997994,2016,park
TRUSCOTT RESERVE,-37.7096300008859,144.935600009708,2016,park
MAYFIELD PARK,-37.991959992035,145.101829974018,2016,park
BOB PETTITT RESERVE,-38.3483700858732,144.294029983903,2016,park
BURT-KUR-MIN RESERVE,-37.5965100016657,144.898679971278,2016,park
JOHN VANDELOO RESERVE,-37.7158200028576,144.919959995745,2016,park
FIDDLERS GREEN,-38.3837599828336,142.237429963242,2016,park
Douglas Maggs Reserve,-37.7880399976085,145.258339988279,2016,park
DORSET GOLF,-37.805409998627,145.300129979119,2016,park
THOMAS MILLETT PARK,-37.5979099997666,144.707979977003,2016,park
JUNCTION SQUARE,-36.1200799446383,146.88733007879,2016,park
RINGWOOD GOLF,-37.8349999963911,145.222229977354,2016,park
NOWINGI PLACE,-34.1852000205282,142.169829973346,2016,park
BILL MINNS ROTUNDA,-38.0284099963861,145.348489968893,2016,park
NICOLA DAVIS CONSERVATION RESERVE,-37.632070000015,145.075880006897,2016,park
WANGARATTA LIONS PARK,-36.3598999842053,146.313849970308,2016,park
REMEMBRANCE PARK,-37.9556199972491,145.551949981602,2016,park
