facility,latitude,longitude,year,facility_type
Henrika Kuljurgies Reserve,-36.1381799514008,146.948229999887,2019,park
Kosovar Park,-36.1410999382156,146.9193499982,2019,park
Bidgood Park,-36.1816999478105,146.949869995568,2019,park
Mel Read Park,-36.1819699433555,146.943889999501,2019,park
BARANDUDA FIELDS,-36.1670499398129,146.938060002174,2019,park
Ernie May Reserve,-36.1321999292579,146.907550011131,2019,park
Ida Schubert Park,-36.1967199661728,146.953330038263,2019,park
BRIAN CALLANAN PARK,-36.1360699604666,146.883699976525,2019,park
Jack Dunstan Park,-36.1422399421183,146.891729994517,2019,park
Kirrip Park,-37.8288599967891,144.952639992836,2019,park
ALTO RESERVE,-37.7909499965493,145.271599985661,2019,park
NARR-MAEN RESERVE,-37.7777899977334,145.261049985941,2019,park
B J Hubbard Reserve,-37.7988599953423,145.224759990902,2019,park
SKYBUS STADIUM,-38.1476299942271,145.119700003709,2019,park
FRANKSTON OVAL,-38.1476299942271,145.119700003709,2019,park
McCubbin Park,-37.8238999898682,145.157940001732,2019,park
Wilhelm Koschel Reserve,-36.164519965629,146.883389979283,2019,park
PIONEERS PARK,-38.028899996373,145.348259968878,2019,park
McGregor Reserve,-38.1620699992615,146.362919967387,2019,park
