facility,latitude,longitude,year,facility_type
Kitson Street Reserve,-37.8227799975063,145.239379983728,2021,park
Laura Court Reserve,-37.8345999965392,145.296269976554,2021,park
Leeds Drive Reserve,-37.8202999977882,145.315449974813,2021,park
Maidstone Street Reserve,-37.827479996552,145.225219979665,2021,park
Marraroo Close Reserve,-37.8259099968255,145.301149976671,2021,park
Munro Street Reserve,-37.8097699973185,145.223439991928,2021,park
Packham Place Reserve,-37.7662199982814,145.269959985677,2021,park
Panorama Avenue Reserve,-37.8040499963281,145.224089992446,2021,park
Settlers Orchard Reserve,-37.7739199978867,145.263599986927,2021,park
Smithdene Avenue Reserve,-37.8116899986074,145.256209972035,2021,park
Jarrod Place Reserve,-37.7645499988036,145.277609986538,2021,park
Hochkins Ridge Flora Reserve,-37.7652499990859,145.28159998677,2021,park
Messara Park,-37.6932800018614,144.774739982298,2021,park
Wellington Park,-37.7733999987771,145.247689977739,2021,park
Nangathan Way Reserve,-37.7706999990668,145.280839986299,2021,park
