facility,latitude,longitude,year,facility_type
Bunjils Nest,-38.2255400212871,144.326949991053,2020,park
Baillie Reserve,-38.1507499978885,146.479949976328,2020,park
DEXTERS BUSH,-37.8352499972447,145.248889977701,2020,park
BAUM PARK,-38.2106200177187,144.304469975605,2020,park
ANZAC PARK,-38.3736199969301,145.12428996281,2020,park
CARMEL EDMENDS RESERVE,-37.5698199992636,144.717959958268,2020,park
BESWICKE SQUARE,-37.82285998943,145.035559998087,2020,park
BERBERT PARK,-37.794420000081,144.886709989017,2020,park
Lewin Reserve,-37.8491999916042,145.050279991654,2020,park
Djila Tjarri Park,-38.3077500595617,144.323499989968,2020,park
SHERWOOD PARK,-36.3743300082455,145.338450005274,2020,park
COFFEE PALACE PARK,-37.057539971197,142.777660024936,2020,park
GREATER DANDENONG BASEBALL PAVILION,-37.9856299977512,145.228379978624,2020,park
ALF WALKER PAVILION,-37.7605600033084,144.98105999132,2020,park
Fred Cook Reserve,-38.1823099997261,144.473839964678,2020,park
Angela Potts Park,-37.5893700005695,144.70583996728,2020,park
Sherbrook Park,-37.8125999969738,145.218219988521,2020,park
